
Nov 22 04:57:23 localhost kernel: [    9.229655] file system registered
Nov 22 04:57:23 localhost kernel: [    9.283257] read descriptors
Nov 22 04:57:23 localhost kernel: [    9.283279] read strings
Nov 22 04:57:24 localhost kernel: [    9.376897] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:25:39 localhost kernel: [   21.216552] [VPF ops]:[L360][S0] vpf_bind_chain: bind done
Mar  5 18:25:39 localhost kernel: [   21.216567] [VPF ops]:[L2223][flow][C0] vpf_video_bind_pipeline: done
Mar  5 18:25:39 localhost kernel: [   21.216621] [VPF ops]:[L1685][vin2_src][S0][C0] vpf_chain_add_vnode: done
Mar  5 18:25:39 localhost kernel: [   21.216627] [VPF ops]:[L1825][vin2_src][C0] vpf_video_add_vnode: done
Mar  5 18:25:39 localhost kernel: [   21.216644] [VPF ops]:[L1685][vs-isp0_src][S0][C0] vpf_chain_add_vnode: done
Mar  5 18:25:39 localhost kernel: [   21.216648] [VPF ops]:[L1825][vs-isp0_src][C0] vpf_video_add_vnode: done
Mar  5 18:25:39 localhost kernel: [   21.216956] [CIM]:[L419][S0]cim_video_get_attr done ret val:0
Mar  5 18:25:39 localhost kernel: [   21.216970] vin vcon2: get attr valid bus7 rx2 done
Mar  5 18:25:39 localhost kernel: [   21.216975] [L306][S0]vin_node_get_attr done
Mar  5 18:25:39 localhost kernel: [   21.216981] [VIN_NODE]:[L286][C0]vin_node_video_get_attr done
Mar  5 18:25:40 localhost kernel: [   21.217493] vin sensor0: camera_init_req cmd: initing
Mar  5 18:25:40 localhost kernel: [   21.482905] vin sensor0: sc132gs open i2c7@0x32
Mar  5 18:25:40 localhost kernel: [   21.482926] vin sensor0: camera_tuning_update_param done
Mar  5 18:25:40 localhost kernel: [   21.483280] vin sensor0: ctrl_mode set to user
Mar  5 18:25:40 localhost kernel: [   21.483334] vin sensor0: camera_init_result cmd: done wake
Mar  5 18:25:40 localhost kernel: [   21.483369] vin sensor0: sensor_evu_do: default to wait
Mar  5 18:25:40 localhost kernel: [   21.483406] vin sensor0: camera_set_intrinsic_param port 0 done
Mar  5 18:25:40 localhost kernel: [   21.483529] vin sensor0: sensor_attach flow0 ctx0 to sensor0 sc132gs
Mar  5 18:25:40 localhost kernel: [   21.483537] vin vcon2: flow0.ctx0 attach sensor0 done
Mar  5 18:25:40 localhost kernel: [   21.483542] vin vcon2: set internal attr attach done
Mar  5 18:25:40 localhost kernel: [   21.483557] vin mipi2: init cmd: 0 real
Mar  5 18:25:40 localhost kernel: [   21.483566] vin mipi2: 1 lane 1088x1280 30fps datatype 0x2b
Mar  5 18:25:40 localhost kernel: [   21.483572] vin mipi2: snrclk set disable
Mar  5 18:25:40 localhost kernel: [   21.483595] vin mipi2: ipiclk limit 21000000 up to 600000000
Mar  5 18:25:40 localhost kernel: [   21.483611] vin mipi2: ipiclk set 600000000 get 600000000
Mar  5 18:25:40 localhost kernel: [   21.483616] vin mipi2: dphy 1200Mbps/1lane: ppi 8bit settle 20
Mar  5 18:25:40 localhost kernel: [   21.516877] vin mipi2: linelenth: 1400, framelenth: 1500, fps: 30, ipiclk: 600000000, rx_bit_clk: 1200000000
Mar  5 18:25:40 localhost kernel: [   21.516900] vin mipi2: ipi config hsa: 4, hbp: 4, hsd: 42
Mar  5 18:25:40 localhost kernel: [   21.516907] vin mipi2: config 1/1 ipi done
Mar  5 18:25:40 localhost kernel: [   21.516912] vin mipi2: check phy stop state
