
Nov 22 04:57:24 localhost kernel: [   10.345452] read descriptors
Nov 22 04:57:24 localhost kernel: [   10.345473] read strings
Nov 22 04:57:24 localhost kernel: [   10.435061] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:42:34 localhost kernel: [   22.870897] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.870901] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.870904] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.870907] [VPF ops]:[L2575][vin0_cap] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.870921] [L1228]cim_open open_cnt :3
Mar  5 18:42:34 localhost kernel: [   22.870924] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.870927] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.870931] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.870934] [VPF ops]:[L2575][vin0_emb] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.870947] [L1228]cim_open open_cnt :4
Mar  5 18:42:34 localhost kernel: [   22.870950] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.870953] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.870957] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.870960] [VPF ops]:[L2575][vin0_pdaf] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.870968] [VPF ops]:[L439][vin0_src][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.870976] [VPF ops]:[L1875][vin0_src][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.870982] [VPF ops]:[L439][vin0_cap][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.870985] [VPF ops]:[L2575][vs-isp0_src] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.870987] [VPF ops]:[L1875][vin0_cap][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.870993] [VPF ops]:[L439][vin0_emb][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.870998] [VPF ops]:[L1875][vin0_emb][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.871001] [VPF ops]:[L2575][vs-isp0_src_pd] vpf_device_open: done
