2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0136
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0137
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0138
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0139
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0140
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0141
2023-11-22-04-57-24: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0142
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0143
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0144
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0145
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0146
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0147
2023-11-22-04-57-24: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0148
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0149
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0150
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0151
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.2_V1.1.1_20251217-1721 	0152
